SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
永和,新北市,29,,良好,2.1,0.35,0.5,36,31,34,11,14,18,4.2,2.9,70,2019-11-01 15:00,8,31,2,121.516306,25.017,70
竹山,南投縣,110,細懸浮微粒,對敏感族群不健康,0.1,0.29,0.3,90,52,68,45,6.6,7.3,0.7,1.6,321,2019-11-01 15:00,39,68,2,120.677306,23.756389,69
中壢,桃園市,29,,良好,1.4,0.56,0.7,31,27,30,12,18,30,11,1.8,2.1,2019-11-01 15:00,9,30,2,121.221667,24.953278,68
三重,新北市,44,,良好,2.8,1.05,1.2,-,,32,15,34,88,54,,,2019-11-01 15:00,14,35,3,121.493806,25.072611,67
冬山,宜蘭縣,40,,良好,1.1,0.19,0.2,30,36,21,8,12,17,4.6,0.9,217,2019-11-01 15:00,12,27,1,121.792928,24.632203,66
宜蘭,宜蘭縣,38,,良好,1.9,0.26,0.3,41,41,28,7,6.4,6.6,0.2,2.2,74,2019-11-01 15:00,8,32,2,121.746394,24.747917,65
陽明,臺北市,41,,良好,1.4,0.09,0.1,45,44,7,4,1,1.3,0.4,,,2019-11-01 15:00,5,6,1,121.529583,25.182722,64
花蓮,花蓮縣,38,,良好,1.2,0.33,0.4,29,28,37,11,14,18,3.5,1.4,12,2019-11-01 15:00,12,30,1,121.599769,23.971306,63
臺東,臺東縣,47,,良好,1.2,0.28,0.3,39,33,42,17,4.4,5.3,0.9,4.1,18,2019-11-01 15:00,15,33,1,121.15045,22.755358,62
恆春,屏東縣,52,細懸浮微粒,普通,1.4,0.13,0.1,38,37,37,18,1.4,2.1,0.7,7.6,17,2019-11-01 15:00,16,30,1,120.788928,21.958069,61
